PLOT,SITE,TREATMENT,REPLICATE,CT,COPIES,cDNA.MASS,DILUTION,VOLUME,FF.WET.MASS,FF.MOISTURE
A1,A,Ambient,11,29,12090,3.33185,1,5,1.052,0.561659193
A1,A,Ambient,11,29.05,11700,3.33185,1,5,1.052,0.561659193
A2,A,Ambient,12,36.25,112.9,3.39815,1,10,1.019,0.375174338
A2,A,Ambient,12,36.03,130,3.39815,1,10,1.019,0.375174338
A3,A,Ambient,13,29.18,10730,3.55285,1,5,1.01,0.429324895
A3,A,Ambient,13,29.19,10650,3.55285,1,5,1.01,0.429324895
A4,A,N_dep,14,34.28,402.2,2.8346,1,10,1.041,0.479744136
A4,A,N_dep,14,34.96,258.9,2.8346,1,10,1.041,0.479744136
A5,A,N_dep,15,35.64,166.6,4.4921,1,10,1.527,0.598890943
A5,A,N_dep,15,35.79,151.7,4.4921,1,10,1.527,0.598890943
A6,A,N_dep,16,36.02,130.7,3.4976,1,10,0.999,0.389793702
A6,A,N_dep,16,35.42,192.5,3.4976,1,10,0.999,0.389793702
B1,B,Ambient,17,29.8,7205,3.9617,1,5,1.055,0.60359408
B1,B,Ambient,17,29.72,7602,3.9617,1,5,1.055,0.60359408
B2,B,Ambient,18,34.38,375.6,3.66335,1,10,1.047,0.584615385
B2,B,Ambient,18,34.22,418.2,3.66335,1,10,1.047,0.584615385
B3,B,Ambient,19,30.35,5041,4.50315,1,5,1.041,0.53633218
B3,B,Ambient,19,30.56,4415,4.50315,1,5,1.041,0.53633218
B4,B,N_dep,20,30.42,4829,4.0943,1,5,1.007,0.402209945
B4,B,N_dep,20,30.05,6112,4.0943,1,5,1.007,0.402209945
B5,B,N_dep,21,28.91,12790,3.99485,1,5,1.043,0.586
B5,B,N_dep,21,28.91,12810,3.99485,1,5,1.043,0.586
B6,B,N_dep,22,36.93,72.68,3.7849,1,10,1.056,0.615234375
B6,B,N_dep,22,36.99,69.82,3.7849,1,10,1.056,0.615234375
C1,C,Ambient,23,32.38,1370,4.30425,1,5,2.511,0.685863874
C1,C,Ambient,23,32.76,1068,4.30425,1,5,2.511,0.685863874
C2,C,Ambient,25,31.17,2977,4.32635,2,1,2.505,0.660618997
C2,C,Ambient,25,31.26,2807,4.32635,2,1,2.505,0.660618997
C3,C,Ambient,26,29.37,9520,3.2987,1,5,2.515,0.683673469
C3,C,Ambient,26,29.31,9885,3.2987,1,5,2.515,0.683673469
C4,C,N_dep,27,31.15,3024,3.8291,1,7,2.519,0.72972973
C4,C,N_dep,27,31.22,2892,3.8291,1,7,2.519,0.72972973
C5,C,N_dep,28,31.48,2441,3.86225,1,7,2.517,0.638489209
C5,C,N_dep,28,31.28,2774,3.86225,1,7,2.517,0.638489209
C6,C,N_dep,29,31.18,2967,3.7186,1,7,2.491,0.680808081
C6,C,N_dep,29,31.29,2752,3.7186,1,7,2.491,0.680808081
D1,D,Ambient,30,33.99,485.5,4.12745,1,8,2.515,0.46201232
D1,D,Ambient,30,33.46,682.7,4.12745,1,8,2.515,0.46201232
D2,D,Ambient,31,33.7,583.8,3.72965,1,8,2.506,0.576964478
D2,D,Ambient,31,33.61,617.6,3.72965,1,8,2.506,0.576964478
D3,D,Ambient,32,28.1,21480,4.2932,1,5,2.497,0.471599402
D3,D,Ambient,32,27.95,23690,4.2932,1,5,2.497,0.471599402
D4,D,N_dep,33,32.13,1606,4.14955,1,7,2.526,0.666971638
D4,D,N_dep,33,32,1749,4.14955,1,7,2.526,0.666971638
D5,D,N_dep,34,31.35,2648,4.0059,1,7,2.506,0.535779817
D5,D,N_dep,34,31.4,2562,4.0059,1,7,2.506,0.535779817
D6,D,N_dep,35,32.6,1186,3.95065,1,7,2.525,0.593012276
D6,D,N_dep,35,32.69,1120,3.95065,1,7,2.525,0.593012276